,ppid,targetoccurence,targetnumber,trialn,EoTScore1,TargetCount1,EoTScore2,TargetCount2,EoTScore3,TargetCount3
0,1,0.2,1,0,2.0,1,,,,
1,1,0.8,1,1,9.0,9,,,,
2,1,0.8,2,2,7.0,5,8.0,5,,
3,1,0.6,3,3,4.0,3,4.0,4,7.0,4
4,1,0.2,3,4,0.0,0,0.0,0,0.0,0
5,1,0.2,2,5,2.0,2,3.0,2,,
6,1,0.4,2,6,3.0,2,3.0,3,,
7,1,0.4,3,7,2.0,3,2.0,3,4.0,2
8,1,0.6,3,8,3.0,3,4.0,3,3.0,2
9,1,0.4,3,9,3.0,2,2.0,3,4.0,2
10,1,0.2,1,10,6.0,5,,,,
11,1,0.6,3,11,2.0,3,7.0,2,3.0,6
12,1,0.2,3,12,1.0,0,2.0,1,1.0,1
13,1,0.4,1,13,5.0,4,,,,
14,1,0.8,2,14,4.0,3,3.0,4,,
15,1,0.8,3,15,5.0,4,4.0,4,7.0,3
16,1,0.6,2,16,7.0,6,3.0,3,,
17,1,0.2,2,17,3.0,2,0.0,0,,
18,1,0.4,1,18,7.0,5,,,,
19,1,0.8,3,19,2.0,1,6.0,1,6.0,9
20,1,0.8,2,20,1.0,2,7.0,10,,
21,1,0.6,1,21,7.0,8,,,,
22,1,0.6,2,22,6.0,2,2.0,5,,
23,1,0.4,3,23,2.0,1,5.0,1,3.0,2
24,1,0.4,2,24,3.0,3,4.0,2,,
25,1,0.8,1,25,9.0,8,,,,
26,1,0.8,1,26,10.0,9,,,,
27,1,0.4,2,27,7.0,6,2.0,2,,
28,1,0.8,3,28,4.0,5,5.0,2,3.0,3
29,1,0.6,2,29,4.0,3,3.0,2,,
30,1,0.6,1,30,8.0,7,,,,
31,1,0.2,1,31,6.0,3,,,,
32,1,0.4,1,32,8.0,7,,,,
33,1,0.2,3,33,5.0,2,3.0,0,4.0,2
34,1,0.6,1,34,10.0,8,,,,
35,1,0.2,2,35,0.0,0,2.0,2,,
