,ppid,targetoccurence,targetnumber,trialn,CurrentAudio,RT,ResponseCategory,Target1,Target2,Target3
0,1,0.2,1,0,o,0.9164305414564637,1,o,,
1,1,0.2,1,0,f,-1,4,o,,
2,1,0.2,1,0,f,-1,4,o,,
3,1,0.2,1,0,n,-1,4,o,,
4,1,0.2,1,0,a,-1,4,o,,
5,1,0.2,1,0,f,-1,4,o,,
6,1,0.2,1,0,r,-1,4,o,,
7,1,0.2,1,0,f,-1,4,o,,
8,1,0.2,1,0,k,0.9112815176972404,3,o,,
9,1,0.2,1,0,r,-1,4,o,,
10,1,0.2,1,0,h,-1,4,o,,
11,1,0.2,1,0,m,-1,4,o,,
12,1,0.2,1,0,r,-1,4,o,,
14,1,0.8,1,1,s,-1,4,z,,
15,1,0.8,1,1,z,-1,2,z,,
16,1,0.8,1,1,s,-1,4,z,,
17,1,0.8,1,1,z,1.1114387232063194,1,z,,
18,1,0.8,1,1,z,-1,2,z,,
19,1,0.8,1,1,z,0.865601665750539,1,z,,
20,1,0.8,1,1,z,0.7656342961567049,1,z,,
21,1,0.8,1,1,z,0.9988768016527132,1,z,,
22,1,0.8,1,1,z,1.0321903031850752,1,z,,
23,1,0.8,1,1,n,-1,4,z,,
24,1,0.8,1,1,y,-1,4,z,,
25,1,0.8,1,1,z,1.0488469030242982,1,z,,
26,1,0.8,1,1,z,1.0154506935244143,1,z,,
28,1,0.8,2,2,b,0.7498117186323299,1,b,z,
29,1,0.8,2,2,z,0.8654317220070453,1,b,z,
30,1,0.8,2,2,f,-1,4,b,z,
31,1,0.8,2,2,z,1.0988849215225116,1,b,z,
32,1,0.8,2,2,z,1.2154584813549292,1,b,z,
33,1,0.8,2,2,b,0.9156049710507119,1,b,z,
34,1,0.8,2,2,z,-1,2,b,z,
35,1,0.8,2,2,a,1.4321627137389754,3,b,z,
36,1,0.8,2,2,z,-1,2,b,z,
37,1,0.8,2,2,b,0.34890929622461897,1,b,z,
38,1,0.8,2,2,b,1.0655807774609372,1,b,z,
39,1,0.8,2,2,a,0.4655317563882022,3,b,z,
40,1,0.8,2,2,b,0.9488001458557989,1,b,z,
42,1,0.6,3,3,b,-1,2,z,o,b
43,1,0.6,3,3,m,0.19882784095077,3,z,o,b
